Actor_label,Country_label,Kpi_label_corporate,Fact_date,Kpi_value,Year,Quarter,Year_Quarter
Gaia.com,USA,SVOD subscribers,2021-03-31,494765,2021,1,2021-Q1
WWE Network,USA,SVOD subscribers,2021-03-31,1175425,2021,1,2021-Q1
Brown Sugar,USA,SVOD subscribers,2021-03-31,4871,2021,1,2021-Q1
Dazn,USA,SVOD subscribers,2021-03-31,834300,2021,1,2021-Q1
Rabbit TV Plus,USA,SVOD subscribers,2021-03-31,13659,2021,1,2021-Q1
Fubo.tv USA,USA,SVOD subscribers,2021-03-31,531865,2021,1,2021-Q1
Flixfling,USA,SVOD subscribers,2021-03-31,3675,2021,1,2021-Q1
BET+,USA,SVOD subscribers,2021-03-31,882331,2021,1,2021-Q1
Philo TV,USA,SVOD subscribers,2021-03-31,815162,2021,1,2021-Q1
FUNimation,USA,SVOD subscribers,2021-03-31,95878,2021,1,2021-Q1
Flix Premiere,USA,SVOD subscribers,2021-03-31,73818,2021,1,2021-Q1
HooplaKidz Plus,USA,SVOD subscribers,2021-03-31,15600,2021,1,2021-Q1
History Vault,USA,SVOD subscribers,2021-03-31,9957,2021,1,2021-Q1
YouTube Premium,USA,SVOD subscribers,2021-03-31,7828762,2021,1,2021-Q1
Starz,USA,SVOD subscribers,2021-03-31,10000000,2021,1,2021-Q1
Eros Now,USA,SVOD subscribers,2021-03-31,76577,2021,1,2021-Q1
Dove Channel,USA,SVOD subscribers,2021-03-31,55869,2021,1,2021-Q1
Retrocrush,USA,SVOD subscribers,2021-03-31,24218,2021,1,2021-Q1
Britbox,USA,SVOD subscribers,2021-03-31,1260184,2021,1,2021-Q1
Lifetime Movie Club,USA,SVOD subscribers,2021-03-31,246000,2021,1,2021-Q1
CuriosityStream,USA,SVOD subscribers,2021-03-31,714000,2021,1,2021-Q1
Peacock Premium,USA,SVOD subscribers,2021-03-31,3168000,2021,1,2021-Q1
Noggin,USA,SVOD subscribers,2021-03-31,2599928,2021,1,2021-Q1
WOW Presents Plus,USA,SVOD subscribers,2021-03-31,48593,2021,1,2021-Q1
Mubi,USA,SVOD subscribers,2021-03-31,41477,2021,1,2021-Q1
OVID,USA,SVOD subscribers,2021-03-31,1400,2021,1,2021-Q1
Hallmark+,USA,SVOD subscribers,2021-03-31,1050000,2021,1,2021-Q1
Arrow Player,USA,SVOD subscribers,2021-03-31,20226,2021,1,2021-Q1
Acorn TV,USA,SVOD subscribers,2021-03-31,1745408,2021,1,2021-Q1
BlazeTV+,USA,SVOD subscribers,2021-03-31,457123,2021,1,2021-Q1
OUTtv,USA,SVOD subscribers,2021-03-31,1935,2021,1,2021-Q1
Crunchyroll,USA,SVOD subscribers,2021-03-31,2246463,2021,1,2021-Q1
PaulaDeen.com,USA,SVOD subscribers,2021-03-31,41010,2021,1,2021-Q1
MyOutdoorTV,USA,SVOD subscribers,2021-03-31,11010,2021,1,2021-Q1
Met Opera on Demand,USA,SVOD subscribers,2021-03-31,30575,2021,1,2021-Q1
Pantaya,USA,SVOD subscribers,2021-03-31,900000,2021,1,2021-Q1
Hi-YAH,USA,SVOD subscribers,2021-03-31,20580,2021,1,2021-Q1
Screambox,USA,SVOD subscribers,2021-03-31,54089,2021,1,2021-Q1
MHz Choice,USA,SVOD subscribers,2021-03-31,156263,2021,1,2021-Q1
Kocowa+,USA,SVOD subscribers,2021-03-31,58842,2021,1,2021-Q1
